"Pt","X","Y","X'","Y'"
0,28.389509888220132,299.5227858985383,-90.11878215468904,13.742810659131266
1,114.59415305245058,188.45141874462604,-89.89555783666877,14.0410110839675
2,170.12983662940673,191.35253654342222,-89.7345296072572,14.034195074256958
3,240.58555460017203,120.89681857265698,-89.55134934628637,14.219931338869241
4,230.22441960447125,46.71109200343935,-89.57174792186224,14.416121723861517
5,401.8048151332762,50.855546001719674,-89.10176978079191,14.403419611940699
6,512.8761822871885,142.0335339638865,-88.79409640315427,14.156434102369206
7,555.7176521062652,199.2833454091445,-88.68260008740486,14.01388817970223
8,623.6477987309426,255.89180092970886,-88.49489110013052,13.858640145114434
9,799.4319500842743,248.74125917974285,-88.01503353867733,13.874164948573213
10,901.9230485004541,302.96620078365186,-87.72994169334338,13.737264408982156
11,904.9024408962733,413.2037194289616,-87.72288496449848,13.364669125971444
12,914.4364965628947,516.8865748034692,-87.69748074065684,13.174137447159147
13,839.3558081882513,518.6742102409607,-87.90353722292791,13.164258026776288
14,632.5859759184001,513.3113039284862,-88.47795495090276,13.172726101390168
15,502.6844674606838,483.51737997029426,-88.82843915019946,13.26206856537196
16,146.34913692070975,384.0056739499338,-89.80782757776434,13.531507303086318
17,274.46300994093457,295.2197805545222,-89.45499113551935,13.75603958451495
