"Pt","X","Y","X'","Y'"
0,37.69062107282243,317.68665255638604,-90.12723464424171,13.740888378114143
1,181.15249024406378,212.8797870229513,-89.73543034073342,14.033532333203675
2,234.15368079899463,111.26096302665532,-89.59152690827203,14.311665017792901
3,240.52976387327203,72.20745419670625,-89.57217854760495,14.41687172892013
4,409.09746014948064,75.39549573384494,-89.1090271641368,14.403569730961514
5,522.6714399100467,165.05916396587085,-88.80066266600528,14.164133767706442
6,633.4558833256165,273.85108142072886,-88.49229816787374,13.863024904825062
7,786.0833719161316,202.51865202725054,-88.08235477624007,14.06255487420429
8,886.1081751438583,264.28695680931276,-87.80059427402577,13.895675263450753
9,918.3870957073875,458.35898538263086,-87.71957301373239,13.362386072564455
10,919.9811164759569,519.3302797804085,-87.70989883339885,13.193087916727533
11,850.242707851048,531.2854355446785,-87.89975462244453,13.160437558101842
12,513.1073152986306,494.6229578675835,-88.82242957175575,13.253551543812147
13,154.05413717838474,396.5906806005687,-89.80919596577665,13.526847138234604
